-976, 3120, 16064, -240, 687, 226
3008, 7800, 13256, -264, 747, 160
2056, 14152, 9472, -289, 804, 41
-528, 14944, 888, -263, 790, -123
1408, 18368, -4736, -250, 761, -228
1160, 13640, -7776, -261, 740, -291
432, 14008, -7784, -271, 716, -323
-760, 17952, -16352, -261, 672, -361
400, 9040, -16472, -286, 584, -443
3616, 384, -12744, -308, 520, -462
2576, 2288, -19136, -291, 497, -471
-1624, 3112, -13768, -304, 532, -473
-1520, 2856, -16272, -287, 541, -465
-3944, 3672, -15408, -300, 530, -462
-3920, 3352, -15208, -303, 536, -477
-3440, 2672, -15800, -285, 546, -472
-2592, 3152, -16208, -346, 570, -462
-48, 2944, -14744, -345, 606, -443
-1672, 504, -14840, -310, 623, -432
-2960, 3864, -16152, -305, 620, -422
-2080, 1696, -15864, -304, 621, -433
-864, -1096, -15992, -257, 583, -455
-1776, -7632, -15240, -249, 528, -462
-1488, -5928, -14248, -239, 491, -467
1456, -7776, -14024, -275, 435, -455
3768, -11992, -13944, -276, 423, -448
5520, -10520, -10488, -300, 404, -427
3944, -6176, -14656, -303, 425, -452
7400, -1584, -14384, -345, 473, -461
5672, 6200, -13568, -354, 557, -445
4504, 14184, -8760, -352, 672, -371
2576, 17128, -3280, -327, 751, -233
-480, 14832, 3808, -304, 798, -103
-6336, 14192, 10072, -257, 794, 25
-7248, 9488, 10792, -198, 765, 70
-5072, 6440, 14928, -202, 740, 156
-4512, 792, 17496, -213, 646, 262
192, -7464, 16112, -243, 537, 258
688, -10360, 13800, -269, 477, 222
336, -15328, 8912, -259, 380, 97
-528, -14208, -1864, -244, 330, -50
-480, -16264, 5376, -252, 345, 27
1192, -8624, 14408, -257, 454, 195
1192, -4064, 16152, -258, 587, 263
1144, 1728, 17072, -262, 665, 240
1320, 7976, 13024, -271, 745, 163
1000, 14552, 9856, -264, 794, 65
616, 14008, 4344, -267, 792, -75
2344, 16784, -1696, -275, 773, -197
2328, 15840, -2392, -268, 761, -211
264, 12888, 7440, -280, 786, 25
1408, 9064, 14432, -269, 744, 172
1248, 3656, 18680, -261, 672, 243
-264, -1112, 16760, -250, 629, 261
-184, 1928, 17008, -253, 632, 268
272, -920, 18184, -253, 627, 261
2184, 1360, 16016, -263, 648, 256
416, -40, 17648, -234, 636, 260
-1072, 904, 18312, -225, 619, 261
-744, 3616, 16800, -211, 609, 250
-408, 888, 16192, -194, 584, 248
-3144, 1240, 16640, -178, 554, 232
-2904, 1424, 16480, -178, 551, 237
-2664, 848, 17240, -196, 546, 235
-2032, 1512, 15552, -198, 525, 240
-2256, 800, 16720, -227, 503, 243
-2232, -320, 16840, -249, 485, 227
-1832, 40, 16704, -259, 493, 232
184, -320, 17456, -299, 489, 236
-1248, 32, 16856, -292, 491, 237
-1024, 496, 16832, -277, 499, 235
-1400, 576, 16624, -258, 484, 226
-352, 1104, 16176, -227, 503, 243
-1144, -208, 16688, -187, 521, 223
-3808, -224, 16264, -179, 545, 218
-1448, 128, 16408, -188, 565, 235
1984, -2432, 16720, -210, 592, 253
-1200, 744, 16240, -220, 608, 243
-1288, -208, 16704, -227, 619, 253
168, -1712, 15968, -258, 632, 258
-656, -2920, 15592, -263, 616, 2
0, -136, 17272, -268, 650, 251
-40, 4496, 16328, -263, 706, 208
784, 11744, 12992, -254, 765, 145
328, 12464, 10000, -272, 784, 57
936, 15232, 5584, -264, 800, -17
1912, 15952, 984, -264, 792, -122
248, 16592, -1448, -262, 773, -182
896, 16128, 1752, -268, 785, -143
2160, 15656, 9120, -272, 794, 40
1744, 9264, 12416, -282, 757, 145
1632, 5944, 15664, -278, 714, 223
1536, -216, 17528, -268, 650, 253
576, -5344, 15512, -261, 576, 256
4448, -7256, 17056, -240, 487, 230
-1160, -15856, 7096, -249, 388, 110
-352, -17440, 2672, -241, 343, 2
-1328, -16224, 128, -235, 328, -33
72, -14064, 8488, -236, 385, 85
136, -10208, 12696, -247, 477, 200
584, -3600, 15720, -269, 562, 247
-344, -344, 17000, -243, 645, 253
-8456, 4416, 14952, -170, 678, 200
-12480, 7672, 8240, -110, 709, 21
-11680, 9816, -456, -140, 731, -147
-10888, 10152, -4336, -182, 724, -226
-11928, 11136, -3600, -169, 724, -211
-12440, 9272, 4264, -134, 728, -75
-9984, 4128, 13776, -129, 689, 102
-6832, 1952, 17440, -170, 657, 217
96, -544, 18360, -241, 636, 257
9096, -2008, 13488, -360, 584, 226
13568, -6520, 6384, -467, 518, 66
13552, -6648, -1344, -506, 501, -92
14216, -7896, -3992, -505, 513, -153
14184, -7872, 776, -500, 510, -63
12056, -4440, 12096, -435, 543, 150
2416, -3360, 15048, -294, 584, 258
-3224, -3800, 15568, -188, 591, 242
-4488, -4296, 15896, -180, 586, 230
-3832, 712, 16376, -201, 644, 227
